date,ticker,shares,amount,type
2021-01-04,CASH,0.0,300000.0,FLOW
2021-01-04,VTV,625.8515,-73500.0,TRADE
2021-01-04,VIG,422.2015,-58800.0,TRADE
2021-01-04,VWO,876.0429,-44100.0,TRADE
2021-01-04,XLE,1548.999,-29400.0,TRADE
2021-01-04,SMH,268.6649,-29400.0,TRADE
2021-01-04,TLT,186.6193,-29400.0,TRADE
2021-01-04,COST,38.6689,-14699.98,TRADE
2021-01-04,GLD,80.623,-14699.99,TRADE
2021-03-31,XLE,0.0,601.14,DIVIDEND
2021-03-31,VTV,0.0,461.55,DIVIDEND
2021-03-31,VIG,0.0,305.35,DIVIDEND
2021-06-30,XLE,0.0,601.14,DIVIDEND
2021-06-30,VTV,0.0,461.55,DIVIDEND
2021-06-30,VIG,0.0,305.35,DIVIDEND
2021-07-02,XLE,-288.9601,7901.61,TRADE
2021-07-02,CASH,0.0,5000.0,FLOW
2021-07-02,TLT,50.9411,-7388.5,TRADE
2021-09-30,XLE,0.0,601.14,DIVIDEND
2021-09-30,VTV,0.0,461.55,DIVIDEND
2021-09-30,VIG,0.0,305.35,DIVIDEND
2021-12-30,VWO,247.8079,-12288.79,TRADE
2021-12-30,CASH,0.0,5000.0,FLOW
2021-12-31,XLE,0.0,601.14,DIVIDEND
2021-12-31,VTV,0.0,461.55,DIVIDEND
2021-12-31,VIG,0.0,305.35,DIVIDEND
2022-03-31,XLE,0.0,601.14,DIVIDEND
2022-03-31,VTV,0.0,461.55,DIVIDEND
2022-03-31,VIG,0.0,305.35,DIVIDEND
2022-06-28,TLT,60.7561,-6811.97,TRADE
2022-06-28,XLE,-376.1265,14232.63,TRADE
2022-06-28,CASH,0.0,5000.0,FLOW
2022-06-30,VIG,0.0,305.35,DIVIDEND
2022-06-30,XLE,0.0,601.14,DIVIDEND
2022-06-30,VTV,0.0,461.55,DIVIDEND
2022-09-30,XLE,0.0,601.14,DIVIDEND
2022-09-30,VTV,0.0,461.55,DIVIDEND
2022-09-30,VIG,0.0,305.35,DIVIDEND
2022-12-27,CASH,0.0,5000.0,FLOW
2022-12-27,VWO,191.2041,-7525.79,TRADE
2022-12-27,SMH,76.6818,-7662.05,TRADE
2022-12-30,VIG,0.0,305.35,DIVIDEND
2022-12-30,XLE,0.0,601.14,DIVIDEND
2022-12-30,VTV,0.0,461.55,DIVIDEND
2023-03-31,VTV,0.0,461.55,DIVIDEND
2023-03-31,VIG,0.0,305.35,DIVIDEND
2023-03-31,XLE,0.0,601.14,DIVIDEND
2023-06-23,SMH,-95.3449,14066.23,TRADE
2023-06-23,CASH,0.0,5000.0,FLOW
2023-06-30,VIG,0.0,305.35,DIVIDEND
2023-06-30,XLE,0.0,601.14,DIVIDEND
2023-06-30,VTV,0.0,461.55,DIVIDEND
2023-09-29,XLE,0.0,601.14,DIVIDEND
2023-09-29,VIG,0.0,305.35,DIVIDEND
2023-09-29,VTV,0.0,461.55,DIVIDEND
2023-12-20,CASH,0.0,5000.0,FLOW
2023-12-20,TLT,99.6383,-9919.99,TRADE
2023-12-20,VIG,47.5682,-8023.8,TRADE
2024-01-02,XLE,0.0,601.14,DIVIDEND
2024-01-02,VIG,0.0,305.35,DIVIDEND
2024-01-02,VTV,0.0,461.55,DIVIDEND
2024-04-01,VIG,0.0,305.35,DIVIDEND
2024-04-01,VTV,0.0,461.55,DIVIDEND
2024-04-01,XLE,0.0,601.14,DIVIDEND
2024-06-17,VTV,84.2221,-13596.82,TRADE
