ticker,shares,asset_class,target_pct
AVDV,20.0,International Equity,5
VXUS,2.0,International Equity,15
VOO,5.0,US Large Cap,35
SPMO,20.0,US Large Cap,12
GLD,83.623,Gold / Precious Metals,5
FBTC,1.0,Digital Assets,0
AVUV,23.0,US Small Cap,13
XMHQ,19.0,US Mid Cap,10
CASH,40885.84,CASH,0
AMZN,-2.0,US Growth,0
BND,-28.0,Fixed Income,0
COST,26.4162,US Consumer Staples,5
NDAQ,-70.0,US Growth,0
SCHG,-119.0,US Growth,0
SMH,168.2829,Semiconductors,10
TLT,655.5559,Long-Term Treasuries,10
VIG,469.7697,US Dividend Growth,20
VTV,710.0736,US Large Cap Value,25
VWO,1563.1949,Emerging Markets,15
XLE,924.8347,Energy Sector,10
